"GenSp","family"
"Megalagrion nesiotes","Coenagrionidae"
"Cydia conspicua","Olethreutidae"
"Machilis heteropus","Machilidae"
"Bactrocera latifrons","Tephritidae"
"Omphisa anastomosalis","Crambidae"
"Setomorpha rutella","Tineidae"
"Argiope trifasciata","Araneidae"
"Marietta leopardina","Aphelinidae"
"Gnathaphanus picipes","Carabidae"
"Bradysia impatiens","Sciaridae"
"Sminthurinus quadrimaculatus","Sminthuridae"
"Entomobrya mauka","Entomobryidae"
"Coccidoxenoides peregrina","Encyrtidae"
"Vesiculaphis caricis","Aphididae"
"Hypothenemus eruditus","Scolytidae"
"Tricorynus herbarius","Anobiidae"
"Laupala molakaiensis","Gryllidae"
"Diaspis echinocacti","Diaspididae"
"Nesophrosyne cinerea","Cicadellidae"
"Hyposmocoma mimema","Cosmopterigidae"
"Atelothrus longulus","Carabidae"
"Drosophila oreas","Drosophilidae"
"Carulaspis giffardi","Diaspididae"
"Listroderes difficilis","Curculionidae"
"Nesodynerus congruus","Vespidae"
"Tetragnatha cuneiventris","Tetragnathidae"
"Sciara hawaiiensis","Sciaridae"
"Limnophora arcuata","Muscidae"
"Megalagrion koelense","Coenagrionidae"
"Drosophila hirtitarsus","Drosophilidae"
"Orfelia hawaiiensis","Keroplatidae"
"Chrysocharis parksi","Eulophidae"
"Trochosa virgata","Lycosidae"
"Archips longiplicatus","Tortricidae"
"Orthomecyna exigua","Crambidae"
"Aeolothrips nasturtii","Aeolothripidae"
"Cyrtopeltis modesta","Miridae"
"Blackburnia aaae","Carabidae"
"Typhaea stercorea","Mycetophagidae"
"Dyscritomyia robusta","Calliphoridae"
"Ilburnia rubescens","Delphacidae"
"Mumetopia nigrimana","Anthomyzidae"
"Stephanodes reduvioli","Mymaridae"
"Aegosoma reflexum","Cerambycidae"
"Rhyncogonus vestitus","Curculionidae"
"Hyposmocoma petalifera","Cosmopterigidae"
"Tylparua hawaiiensis","Keroplatidae"
"Anarhopus sydneyensis","Encyrtidae"
"Scaptomyza gilvivirilia","Drosophilidae"
"Dactylosternum subquadratum","Hydrophilidae"
"Blackburnia kauwa","Carabidae"
"Plagithmysus ilicis ekeanus","Cerambycidae"
"Haliophyle flavistigma","Noctuidae"
"Nesosydne cyathodis","Delphacidae"
"Oliarus haleakalae","Cixiidae"
"Nesosydne perkinsi","Delphacidae"
"Scaptomyza bryanti","Drosophilidae"
"Spalangia lanaiensis","Pteromalidae"
"Thyrocopa argentea","Oecophoridae"
"Dysaphis aucupariae","Aphididae"
"Banza brunnea","Tettigoniidae"
"Aedes albopictus","Culicidae"
"Scaptomyza elmoi","Drosophilidae"
"Platyura hawaiiensis","Keroplatidae"
"Dicyrtoma hawaiiensis","Sminthuridae"
"Hylaeus difficilis","Colletidae"
"Drosophila joycei","Drosophilidae"
"Nesotocus giffardi","Curculionidae"
"Pseudoschrankia leptoxantha","Noctuidae"
"Planococcus citri","Pseudococcidae"
"Pedinopsitha finschii","Philodromidae"
"Nesosydne painiu","Delphacidae"
"Pyroderces rileyi","Cosmopterigidae"
"Hyposmocoma auroargentea","Cosmopterigidae"
"Nysius blackburni","Lygaeidae"
"Nesodiranchis nigra","Eucoilidae"
"Oligota mutanda","Staphylinidae"
"Drosophila stenoptera","Drosophilidae"
"Xyleborus vulcanus","Scolytidae"
"Sierola mauiensis","Bethylidae"
"Mecaphesa junctus","Thomisidae"
"Homoeosoma albosparsum","Pyralidae"
"Callosobruchus chinensis","Bruchidae"
"Prognathogryllus hana","Gryllidae"
"Nesothoe laka","Delphacidae"
"Micromus subochraceus","Hemerobiidae"
"Mecaphesa oreades","Thomisidae"
"Dromaeolus bonvouloiri","Eucnemidae"
"Leptodictya tabida","Tingidae"
"Pseudobroscus lentus","Carabidae"
"Listroderes costirostris","Curculionidae"
"Rhynchephestia rhabdotis","Pyralidae"
"Campsicnemus macula","Dolichopodidae"
"Opsius stactogalus","Cicadellidae"
"Oodemas obscurum","Curculionidae"
"Heiroxestis omoscopa","Tineidae"
"Drosophila pohaka","Drosophilidae"
"Batrachedrodes supercincta","Batrachedridae"
"Nezara viridula","Pentatomidae"
"Scotorythra triscia","Geometridae"
"Spissistilus festinus","Membracidae"
"Ploiariodes rubromaculatus","Reduviidae"
"Protalebrella brasiliensis","Cicadellidae"
"Kilauella inaequifusca","Elipsocidae"
"Forcipomyia ingrami","Ceratopogonidae"
"Eucymatoge stypheliae","Geometridae"
"Echidnophaga gallinacea","Pulicidae"
"Apterocis montanus","Ciidae"
"Scholastes bimaculatus","Platystomatidae"
"Lispocephala pectinata","Muscidae"
"Brontolaemus agilis","Laemophloeidae"
"Neosciara molokaiensis","Sciaridae"
"Vaga blackburni","Lycaenidae"
"Lispocephala rudis","Muscidae"
"Phytomyza plantaginis","Agromyzidae"
"Diestota occidentalis","Staphylinidae"
"Sciara molokaiensis","Sciaridae"
"Procanace confusa","Canacidae"
"Gonioryctus arduus","Nitidulidae"
"Linognathus vituli","Linognathidae"
"Neacoryphus bicrucis","Lygaeidae"
"Enicospilus kaalae","Ichneumonidae"
"Mirosternus carinatus","Anobiidae"
"Dyscritomyia hawaiiensis","Calliphoridae"
"Curtomerus flavus","Cerambycidae"
"Eucymatoge staurophragma","Geometridae"
"Prosopeus protinoides","Nitidulidae"
"Pipunculus delomeris","Pipunculidae"
"Blackburnia fracta","Carabidae"
"Sarona pusilla","Miridae"
"Dicranomyia brunnea","Tipulidae"
"Trichomyia hawaiiensis","Psychodidae"
"Palistreptus montanus","Elipsocidae"
"Cheumatopsyche analis","Hydropsychidae"
"Eudonia macrophanes","Crambidae"
"Capitophorus braggi","Aphididae"
"Hyposmocoma exaltata","Cosmopterigidae"
"Bassus laetatorius","Ichneumonidae"
"Scaptomyza lonchoptera","Drosophilidae"
"Rhinacloa forticornis","Miridae"
"Genophantis leahi","Pyralidae"
"Hedylepta blackburni","Crambidae"
"Desmometopa tarsalis","Milichiidae"
"Odynerus homoeogaster","Vespidae"
"Desmometopa inaurata","Milichiidae"
"Proterhinus lecontei","Belidae"
"Drosophila hamifera","Drosophilidae"
"Trigonidium waikua","Gryllidae"
"Opuna sharpianus","Miridae"
"Nesoprosopis nivalis","Colletidae"
"Nesocrabro daemonius","Crabronidae"
"Tetragnatha trituberculata","Tetragnathidae"
"Sogatella kolophon","Delphacidae"
"Supella longipalpa","Blattellidae"
"Holcobius haleakalae","Anobiidae"
"Cis fuscipes","Ciidae"
"Drosophila makawao","Drosophilidae"
"Trochosomma versicula","Lycosidae"
"Proterhinus arhopalus","Belidae"
"Dermothrips hawaiiensis","Phlaeothripidae"
"Sitotroga cerealella","Gelechiidae"
"Scaptomyza ostensa","Drosophilidae"
"Sophonia rufofascia","Cicadellidae"
"Emoloana eragrosticola","Delphacidae"
"Drosophila cilifemorata","Drosophilidae"
"Bradysia tritici","Sciaridae"
"Chloriona kolophon","Delphacidae"
"Fornax longicornis","Eucnemidae"
"Plautia stali","Pentatomidae"
"Sinella borerae","Entomobryidae"
"Mestolobes pessias","Crambidae"
"Cydia plicata","Olethreutidae"
"Scotorythra euryphaea","Geometridae"
"Tyrannochthonius stonei","Chthoniidae"
"Kelisia sporobolicola","Delphacidae"
"Proterhinus sternalioides","Belidae"
"Dasyhelea platychaeta","Ceratopogonidae"
"Leialoha ohiae","Delphacidae"
"Ptycta rhina symmetrica","Psocidae"
"Plagithmysus mauiensis","Cerambycidae"
"Charips brassicae","Charipidae"
"Drosophila gymnobasis","Drosophilidae"
"Oligota scripta","Staphylinidae"
"Hyposmocoma suffusella","Cosmopterigidae"
"Propsocus pulchripennis","Elipsocidae"
"Oligotoma saundersii","Oligotomidae"
"Modicogryllus siamensis","Gryllidae"
"Adelencyrtus extranea","Encyrtidae"
"Pauahiana swezeyi","Eulophidae"
"Rhopalosiphum nymphaeae","Aphididae"
"Drosophila varga","Drosophilidae"
"Limonia kauaiensis haleakalae","Tipulidae"
"Campsicnemus viridulus","Dolichopodidae"
"Enarmonia walsinghamii","Olethreutidae"
"Drosophila neopicta","Drosophilidae"
"Scaptomyza longipecten","Drosophilidae"
"Plagithmysus ukulele","Cerambycidae"
"Sciara spatitergum","Sciaridae"
"Gonocephalum adpressiforme","Tenebrionidae"
"Nesosydne argyroxiphii","Delphacidae"
"Gronotoma micromorpha","Eucoilidae"
"Tetragnatha restricta","Tetragnathidae"
"Cyclosa turbinata","Araneidae"
"Sierola vetusta","Bethylidae"
"Drosophila diffusa","Drosophilidae"
"Macaria abydata","Geometridae"
"Drosophila prodita","Drosophilidae"
"Sierola humilis","Bethylidae"
"Carpophilus maculatus","Nitidulidae"
"Cercyon laminatus","Hydrophilidae"
"Eucalliphora lilaea","Calliphoridae"
"Rhabdoscelus obscurus","Curculionidae"
"Coccus longulus","Coccidae"
"Haematopinus eurystemus","Haematopinidae"
"Scaptomyza villosa","Drosophilidae"
"Trigonidium neokukui","Gryllidae"
"Nosopsyllus fasciatus","Ceratophyllidae"
"Plagithmysus collaris","Cerambycidae"
"Eucelatoria armigera","Tachinidae"
"Agrotis tephrias","Noctuidae"
"Ploiariodes whitei","Reduviidae"
"Thyrocopa altema","Oecophoridae"
"Aculops lycopersici","Eriophyidae"
"Lophoplusia psectrocera","Noctuidae"
"Omosita discoidea","Nitidulidae"
"Udea ephippias","Crambidae"
"Ceratothrips frici","Thripidae"
"Philodoria floscula","Gracillariidae"
"Metaphycus lounsburyi","Encyrtidae"
"Cydia storeella","Olethreutidae"
"Loxosceles rufescens","Loxoscelidae"
"Neseis pallida","Lygaeidae"
"Chrysopa comanche","Chrysopidae"
"Trigonidium hoahoa","Gryllidae"
"Pison hospes","Crabronidae"
"Agrotis arenivolans","Noctuidae"
"Blackburnia pilikua","Carabidae"
"Drosophila taeniata","Drosophilidae"
"Odynerus sandwichensis","Vespidae"
"Drosophila fasciculisetae","Drosophilidae"
"Saldula intermedia","Saldidae"
"Drosophila scolostoma","Drosophilidae"
"Scoparia venosa","Crambidae"
"Bavia aericeps","Salticidae"
"Leptogryllus hanaula","Gryllidae"
"Keiferia lycopersicella","Gelechiidae"
"Oripoda prominens","Oripodidae"
"Triphleps persequens","Anthocoridae"
"Engytatus sidae","Miridae"
"Monomorium pharaonis","Formicidae"
"Telmatogeton fluviatilis","Chironomidae"
"Peregrinus maidis","Delphacidae"
"Acizzia uncatoides","Psyllidae"
"Sepsis biflexuosa","Sepsidae"
"Paratrigonidium pacificum","Gryllidae"
"Carposina atronotata","Carposinidae"
"Enicospilus ferrugineus","Ichneumonidae"
"Laelaps echidnina","Laelapidae"
"Scaptomyza totonigra","Drosophilidae"
"Heliothis zea","Noctuidae"
"Blackburnia auana","Carabidae"
"Campsicnemus diamphidius","Dolichopodidae"
"Odynerus laevisulcatus","Vespidae"
"Elasmopalpus lignosellus","Pyralidae"
"Homoneura unguiculata","Lauxaniidae"
"Entomobrya kea","Entomobryidae"
"Blackburnia molokaiensis","Carabidae"
"Palistreptus oligotarsus","Elipsocidae"
"Batrachedrodes bedelliella","Batrachedridae"
"Blackburnia kipahulu","Carabidae"
"Schistocerca nitens","Acrididae"
"Phlyctaenia liopis","Crambidae"
"Blackburnia longula","Carabidae"
"Blackburnia cephalotes","Carabidae"
"Campsicnemus perplexus","Dolichopodidae"
"Megalotica holombra","Geometridae"
"Lispocephala longipes","Muscidae"
"Lispocephala aspilota","Muscidae"
"Microbracon terryi","Braconidae"
"Lispocephala argentifrons","Muscidae"
"Caconemobius howarthi","Gryllidae"
"Polistes aurifer","Vespidae"
"Proterhinus comes","Belidae"
"Lepidocyrtus hukulii","Entomobryidae"
"Neophyllaphis araucariae","Aphididae"
"Lindingaspis rossi","Diaspididae"
"Plagithmysus newelli","Cerambycidae"
"Drosophila hystricosa","Drosophilidae"
"Echmepteryx madagascariensis","Lepidopsocidae"
"Lepidosaphes beckii","Diaspididae"
"Hylaeus unicus","Colletidae"
"Stator limbatus","Bruchidae"
"Proterhinus maculatus","Belidae"
"Phaeogramma vittipennis","Tephritidae"
"Lycosa hawaiiensis","Lycosidae"
"Aulacorthum circurnflexurn","Aphididae"
"Orthomecyna amphilyca","Crambidae"
"Lampides boeticus","Lycaenidae"
"Anax junius","Aeshnidae"
"Nesomicromus molokaiensis","Hemerobiidae"
"Acanthia procellaris","Saldidae"
"Nesosydne longipes","Delphacidae"
"Megalagrion calliphya","Coenagrionidae"
"Nesosydne rubescens","Delphacidae"
"Scaptomyza mitchelli","Drosophilidae"
"Blackburnia medeirosi","Carabidae"
"Ectemnius mandibularis","Crabronidae"
"Cis tabidus","Ciidae"
"Diaspis bromeliae","Diaspididae"
"Leptogryllus montgomeri","Gryllidae"
"Ptycta simulator","Psocidae"
"Sigmatineurum parenti","Dolichopodidae"
"Nesiomiris kraussi","Miridae"
"Entomobrya laha","Entomobryidae"
"Cis chloroticus","Ciidae"
"Drosophila pilatisetae","Drosophilidae"
"Nesosydne nephrolepidis","Delphacidae"
"Nabis tarai","Nabidae"
"Drosophila haleakalae","Drosophilidae"
"Herpetogramma licarsisalis","Crambidae"
"Dettopsomyia formosa","Drosophilidae"
"Nesosydne ahinahina","Delphacidae"
"Cosmopolites sordidus","Curculionidae"
"Megalagrion amaurodytum amaurodytum","Coenagrionidae"
"Musca domestica","Muscidae"
"Campylomma hawaiiensis","Miridae"
"Mecyclothorax macrops","Carabidae"
"Phanacis taraxaci","Cynipidae"
"Eupetinus curtus","Nitidulidae"
"Hyposmocoma municeps","Cosmopterigidae"
"Drosophila orthofascia","Drosophilidae"
"Ectemnius molokaiensis","Crabronidae"
"Lispocephala whittlei","Muscidae"
"Scaptomyza longipecten griseonigra","Drosophilidae"
"Colpocaccus lanaiensis","Carabidae"
"Udara blackburni","Lycaenidae"
"Cryptophlebia illepida fulva","Olethreutidae"
"Bembidion fulgens","Carabidae"
"Tetragnatha hawaiensis","Tetragnathidae"
"Stragania robusta","Cicadellidae"
"Palistreptus valvulus","Elipsocidae"
"Enicospilus orbitalis","Ichneumonidae"
"Melipotis indomita","Noctuidae"
"Campsicnemus coniculus","Dolichopodidae"
"Acanthia exulans","Saldidae"
"Engytatus modestus","Miridae"
"Aphaniosoma minuta","Chyromyidae"
"Alloxysta fuscicornis","Charipidae"
"Trichoplusia ni","Noctuidae"
"Orthotylus diospyroides","Miridae"
"Araecerus fasciculatus","Anthribidae"
"Nesomicromus subochraceus","Hemerobiidae"
"Stomoxys calcitrans","Muscidae"
"Hyperomyzus lactucae","Aphididae"
"Scatella cilipes","Ephydridae"
"Saldula oahuensis","Saldidae"
"Trigonidium paramana","Gryllidae"
"Blackburnia lihau","Carabidae"
"Blackburnia calathiformis","Carabidae"
"Artema mauritiana","Pholcidae"
"Cerotrioza bivittata","Psyllidae"
"Eristalis tenax","Syrphidae"
"Nesotocus newelli","Curculionidae"
"Scaptomyza nasalis","Drosophilidae"
"Copelatus parvulus","Dytiscidae"
"Dorilas haleakalaae","Pipunculidae"
"Mecyclothorax interruptus","Carabidae"
"Balta similis","Blattellidae"
"Pulex irritans","Pulicidae"
"Drosophila hirtipalpus","Drosophilidae"
"Anomalochrysa fulvescens","Chrysopidae"
"Lispe metatarsalis","Muscidae"
"Tetragnatha brevignatha","Tetragnathidae"
"Pseudaletia dasuta","Noctuidae"
"Lispocephala aquila","Muscidae"
"Leptogryllus waikemoi","Gryllidae"
"Lobopterella dimidiatipes","Blattellidae"
"Hyposmocoma tigrina","Cosmopterigidae"
"Spodoptera exigua","Noctuidae"
"Galleria mellonella","Pyralidae"
"Pseudococcus swezeyi","Pseudococcidae"
"Nesoprosopis facilis","Colletidae"
"Neoscatella warreni","Ephydridae"
"Nysius fucatus","Lygaeidae"
"Scaptomyza nasalis","Drosophilidae"
"Nabis kahavalu","Nabidae"
"Protaetia fusca","Scarabaeidae"
"Peripsocus similis","Peripsocidae"
"Lasioderma serricorne","Anobiidae"
"Prognathogryllus kukui","Gryllidae"
"Parlatoria ziziphi","Diaspididae"
"Odynerus molokaiensis","Vespidae"
"Platynus calathiformis","Carabidae"
"Anax strenuus","Aeshnidae"
"Blackburnia fulgida","Carabidae"
"Plagithmysus railliardiae","Cerambycidae"
"Enicospilus melanochromus","Ichneumonidae"
"Trupanea dubautiae","Tephritidae"
"Conoderus exsul","Elateridae"
"Hyposmocoma corticicolor","Cosmopterigidae"
"Cirphis unipuncta","Noctuidae"
"Physiphora clausa","Otitidae"
"Banchogastra vitreipennis","Ichneumonidae"
"Nesosydne cyrtandrae","Delphacidae"
"Hystricocnema plinthopyga","Sarcophagidae"
"Oceanaspidiotus araucariae","Diaspididae"
"Lispocephala vahda","Muscidae"
"Drosophila inciliata","Drosophilidae"
"Plagithmysus finschi","Cerambycidae"
"Prosopeus similis","Nitidulidae"
"Orgilus swezeyi","Braconidae"
"Blackburnia gracilis","Carabidae"
"Entomobrya socia","Entomobryidae"
"Campsicnemus chauliopodus","Dolichopodidae"
"Eurynogaster callaina","Dolichopodidae"
"Limonia perkinsi","Tipulidae"
"Toxoptera citricida","Aphididae"
"Hylaeus connectens","Colletidae"
"Thyrocopa apatela","Oecophoridae"
"Megalagrion blackburni","Coenagrionidae"
"Dyscritomyia bryani","Calliphoridae"
"Sarona beardsleyi","Miridae"
"Drosophila recticilia","Drosophilidae"
"Litargus vestitus","Mycetophagidae"
"Proterhinus humeralis","Belidae"
"Antrocephalus pertorvus","Chalcididae"
"Culex quinquefasciatus","Culicidae"
"Neoscatella oahuense","Ephydridae"
"Philodoria basalis","Gracillariidae"
"Mimosestes nubigens","Bruchidae"
"Plagithmysus terryi","Cerambycidae"
"Eucoilidea micromorpha","Eucoilidae"
"Orthotylus coprosmaphila","Miridae"
"Poronotellus sodalis","Anthocoridae"
"Rhizoglyphus echinopus","Acaridae"
"Haliophyle niphadopa","Noctuidae"
"Mecyclothorax angusticollis","Carabidae"
"Nesosydne blackburni","Delphacidae"
"Sitobion avenae","Aphididae"
"Xyleborus affinis","Scolytidae"
"Anchastus swezeyi","Elateridae"
"Lepidocyrtus violaceus","Entomobryidae"
"Holcobius haleakalae chrysodytus","Anobiidae"
"Callopistria maillardi","Noctuidae"
"Chaetomymar bagicha","Mymaridae"
"Saldula robertusingeri","Saldidae"
"Scaptomyza glauca","Drosophilidae"
"Neseis saundersianus","Lygaeidae"
"Hylaeus longiceps","Colletidae"
"Calliphora vicina","Calliphoridae"
"Banchogastra vitreipennis","Ichneumonidae"
"Cadrema pallida","Chloropidae"
"Havaika navata","Salticidae"
"Nipaecoccus nipae","Pseudococcidae"
"Mecyclothorax superstriatus","Carabidae"
"Ectemnius haleakalae","Crabronidae"
"Gnatholymnaeum spurcum","Carabidae"
"Bembidion ignicola","Carabidae"
"Nesosteles kilaueae","Cicadellidae"
"Plagithmysus yoshimotoi","Cerambycidae"
"Plagithmysus nicotianae","Cerambycidae"
"Cryptophlebia illepida","Olethreutidae"
"Solenopsis papuana","Formicidae"
"Lispocephala pollinosa","Muscidae"
"Heterocrossa gracillima","Carposinidae"
"Sinella yosiia","Entomobryidae"
"Hoplothrips ovatus","Phlaeothripidae"
"Ruspolia remotus","Tettigoniidae"
"Agrotis mesotoxa","Noctuidae"
"Hyposmocoma emendata","Cosmopterigidae"
"Micromus bellulus infumatus","Hemerobiidae"
"Linepithema humile","Formicidae"
"Trigonidium kapipi","Gryllidae"
"Xenocrabro molokaiensis","Crabronidae"
"Scotorythra paludicola","Geometridae"
"Drosophila affinidisjuncta","Drosophilidae"
"Drosophila brunneisetae","Drosophilidae"
"Eurynogaster furva","Dolichopodidae"
"Folsomina onychiurina","Isotomidae"
"Scaptomyza punctivena","Drosophilidae"
"Chlorococcus chloris","Pseudococcidae"
"Megalorhipida defectalis","Pterophoridae"
"Thalassomya setosipennis","Chironomidae"
"Hyposmocoma malornata","Cosmopterigidae"
"Heteropoda venatoria","Heteropodidae"
"Scatella hawaiiensis","Ephydridae"
"Labia dubronyi","Labiidae"
"Mecyclothorax vitreus","Carabidae"
"Caecilius analis","Caeciliidae"
"Mecomenus koebelei","Carabidae"
"Ithamar annectans","Rhopalidae"
"Syntormon distortitarsis","Dolichopodidae"
"Lycophotia margaritosa","Noctuidae"
"Drosophila caccabata","Drosophilidae"
"Scaptomyza umbrosa","Drosophilidae"
"Sarcophaga albiceps","Sarcophagidae"
"Nesosydne nesopele","Delphacidae"
"Hoplothrips flavipes","Phlaeothripidae"
"Amblyseius largoensis","Phytoseiidae"
"Dialeurodes citrifolii","Aleyrodidae"
"Lobometopon diremptus","Tenebrionidae"
"Pelopaeus caementarius","Sphecidae"
"Lispocephala indecisa","Muscidae"
"Oodemas olindae","Curculionidae"
"Dromaeolus agriotoides","Eucnemidae"
"Macrosiphum granarium","Aphididae"
"Drosophila badia","Drosophilidae"
"Orthostolus prosternalis","Nitidulidae"
"Hedylepta accepta","Crambidae"
"Hydrellia tritici","Ephydridae"
"Fannia canicularis","Fanniidae"
"Leptocera atomus","Sphaeroceridae"
"Tramea lacerata","Libellulidae"
"Thriscothorax subconstrictus","Carabidae"
"Hyposmocoma lacticretella","Cosmopterigidae"
"Proterhinus persimilis","Belidae"
"Kuwayama nigricapita","Psyllidae"
"Cirphis pyrrhias","Noctuidae"
"Plusia pterylota","Noctuidae"
"Proterhinus nivicola","Belidae"
"Epitrix hirtipennis","Chrysomelidae"
"Carposina mauii","Carposinidae"
"Thaumatogryllus mauiensis","Gryllidae"
"Cis mimus","Ciidae"
"Campsicnemus philohydratus","Dolichopodidae"
"Calvoppia perkinsi","Oribatulidae"
"Oechalia suehiroae","Pentatomidae"
"Gonioryctus mauiensis","Nitidulidae"
"Hemipsocus roseus","Hemipsocidae"
"Peripsocus ferrugineus","Peripsocidae"
"Sarona adonias","Miridae"
"Borborillus sordidus","Sphaeroceridae"
"Lasioglossum impavidum","Halictidae"
"Chrysodeixis eriosoma","Noctuidae"
"Hylaeus kukui","Colletidae"
"Tydeus californicus","Tydeidae"
"Proterhinus epitrachys","Belidae"
"Trigonidium eumeles","Gryllidae"
"Pseudococcus longispinus","Pseudococcidae"
"Hylaeus volatilis","Colletidae"
"Lepidosaphes tokionis","Diaspididae"
"Atrachycnemis sharpi","Carabidae"
"Coptotermes formosanus","Rhinotermitidae"
"Eudonia hawaiiensis","Crambidae"
"Nesosydne bridwelli","Delphacidae"
"Blackburnia foveolata","Carabidae"
"Hypenodes altivolans","Noctuidae"
"Cerobasis guestfalica","Trogiidae"
"Odynerus purpurifer","Vespidae"
"Coenosia ingens","Muscidae"
"Pachyneuron siphonophorae","Pteromalidae"
"Drosophila truncipenna","Drosophilidae"
"Pimpla punicipes","Ichneumonidae"
"Scymnus ocellatus","Coccinellidae"
"Hygrotus medialis","Dytiscidae"
"Lepidocyrtus eeu","Entomobryidae"
"Drosophila okala","Drosophilidae"
"Drosophila megasticta","Drosophilidae"
"Dyscritomyia viridis","Calliphoridae"
"Laemostenus complanatus","Carabidae"
"Duplaspidiotus claviger","Diaspididae"
"Bradysia impatiens","Sciaridae"
"Rhopalosiphum padi","Aphididae"
"Psychoda sigma","Psychodidae"
"Meijerella flavisetosa","Chloropidae"
"Hyposmocoma chilonella","Cosmopterigidae"
"Thrips tabaci","Thripidae"
"Phintella versicolor","Salticidae"
"Nesoprosopis hula","Colletidae"
"Hyposmocoma petroptilota","Cosmopterigidae"
"Psychoda harrisi","Psychodidae"
"Dohmiphora cornuta","Phoridae"
"Prosopeus bidens","Nitidulidae"
"Ectopsocus perkinsi","Ectopsocidae"
"Stomoxys calcitrans","Muscidae"
"Sierola nigrescens","Bethylidae"
"Dromaeolus puncticollis","Eucnemidae"
"Orthomecyna heterodryas","Crambidae"
"Cosmopolites sordidus","Curculionidae"
"Phytoseius hawaiiensis","Phytoseiidae"
"Campsicnemus brevitibia","Dolichopodidae"
"Zelus renardii","Reduviidae"
"Pseudeucoila perkinsi","Eucoilidae"
"Parlatoria crotonis","Diaspididae"
"Melipotis indomita","Noctuidae"
"Neostylopyga rhombifolia","Blattidae"
"Nesodynerus molokaiensis","Vespidae"
"Euborellia eteronoma","Carcinophoridae"
"Cephalops timberlakei","Pipunculidae"
"Eupetinus omalioides","Nitidulidae"
"Proernus stigmaticus","Philodromidae"
"Burmoniscus okinawaensis","Philosciidae"
"Xyleborus hawaiiensis","Scolytidae"
"Udea despecta","Crambidae"
"Oodemas hawaiiense","Curculionidae"
"Nabis koelensis","Nabidae"
"Mecaphesa insulanus","Thomisidae"
"Oxydema longulum","Curculionidae"
"Antopocerus tanythrix","Drosophilidae"
"Pipunculus acrothrix","Pipunculidae"
"Chelodynerus chelifer","Vespidae"
"Ithamar hawaiiensis","Rhopalidae"
"Eupelmus paraleucothrix","Eupelmidae"
"Hyposmocoma tricincta","Cosmopterigidae"
"Dyscritomyia obscura","Calliphoridae"
"Tarophagus colocasiae","Delphacidae"
"Mestolobes banausa","Crambidae"
"Mirosternus simplex","Anobiidae"
"Laupala kona","Gryllidae"
"Scytodes fusca","Scytodidae"
"Diestota sculpturata","Staphylinidae"
"Allorhogas pallidiceps","Braconidae"
"Barypristus rupicola","Carabidae"
"Eurynogaster hispida","Dolichopodidae"
"Neseis mauiensis","Lygaeidae"
"Xyletobius sykesii molokaiensis","Anobiidae"
"Notonecta indica","Notonectidae"
"Drosophila basisetae","Drosophilidae"
"Lepidocyrtus immaculatus","Entomobryidae"
"Ilburnia coprosmicola","Delphacidae"
"Erionota thrax","Hesperiidae"
"Thyrocopa nubifer","Oecophoridae"
"Desmometopa singaporensis","Milichiidae"
"Megalagrion nigrohamatum","Coenagrionidae"
"Cryptophlebia ombrodelta","Olethreutidae"
"Peridroma neurogramma","Noctuidae"
"Alaptus globosicornis","Mymaridae"
"Prays new species 6","Yponomeutidae"
"Peridroma albiorbis","Noctuidae"
"Mecyclothorax gracilis","Carabidae"
"Plagithmysus atricolor","Cerambycidae"
"Isotoma trispinata","Isotomidae"
"Hermetia illucens","Stratiomyidae"
"Sierola longicornis","Bethylidae"
"Odynerus nigripennis","Vespidae"
"Mecyclothorax terminalis","Carabidae"
"Carpophilus dimidiatus","Nitidulidae"
"Anurida anini","Hypogastruridae"
"Dromaeolus konensis","Eucnemidae"
"Athetis thoracica","Noctuidae"
"Tegonotus hibiscella","Eriophyidae"
"Plagithmysus looki keanakolui","Cerambycidae"
"Brachycaudus helichrysi","Aphididae"
"Oligota prolixa","Staphylinidae"
"Agraulis vanillae","Nymphalidae"
"Ectopsocus richardsi","Ectopsocidae"
"Campsicnemus obscurus","Dolichopodidae"
"Balta notulata","Blattellidae"
"Tricentrus albomaculatus","Membracidae"
"Helicoverpa confusa","Noctuidae"
"Peripsocus similis","Peripsocidae"
"Toxeuma hawaiiensis","Pteromalidae"
"Hypothenemus obscurus","Scolytidae"
"Scaptomyza articulata","Drosophilidae"
"Synthesiomyia nudiseta","Muscidae"
"Solenopsis papuana","Formicidae"
"Syntormon distortitarsis","Dolichopodidae"
"Diaspis bromeliae","Diaspididae"
"Coccotrypes carpophagus","Scolytidae"
"Chlorococcus chloris","Pseudococcidae"
"Spheterista xanthogona","Tortricidae"
"Sulamita lunalilo","Miridae"
"Parlatoria ziziphi","Diaspididae"
"Orthotylus kassandra","Miridae"
"Oechalia acuta","Pentatomidae"
"Dicyrtoma hawaiiensis","Sminthuridae"
"Hylaeus flavipes","Colletidae"
"Hyposmocoma palmifera","Cosmopterigidae"
"Nesosydne neoraillardiae","Delphacidae"
"Acrotelsa hawaiiensis","Lepismatidae"
"Xyleborus hiiaka","Scolytidae"
"Semnoprepia petroptilota","Cosmopterigidae"
"Drosophila umiumi","Drosophilidae"
"Campsicnemus paniculatus","Dolichopodidae"
"Eucymatoge craterias","Geometridae"
"Conioscinella formosa","Chloropidae"
"Fulvius variegatus","Miridae"
"Pygmephorus mesembrinae","Pygmephoridae"
"Scaptomyza umbrosa","Drosophilidae"
